5.409845570251110847e-02,8.574139973372876256e-01,9.177008272172283432e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.758691311842871086e-01,9.014027245906303110e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.844562299526436813e-03,1.443525499543993618e-01,1.728669405299667616e-01,1.965333397688020511e-01,8.545370721923913893e-01,9.301781668418996896e-01,9.676802492869269745e-01,9.850876176465593881e-01,nan,nan,nan,nan,nan,nan,nan
5.283916495789401507e-02,1.951976834388475801e-01,2.678703439884084214e-01,3.093207496194139150e-01,3.485289726952995881e-01,5.531352298837663994e-01,6.007487089582242978e-01,6.686861471567794313e-01,8.088301934103023783e-01,9.711259312245605901e-01,9.877689023173692462e-01,nan,nan,nan,nan
1.288264440824863910e-01,9.836347809208517701e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.116269124481909514e-01,2.984361885091146305e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.716127395886830942e-01,7.121104919567390334e-01,7.535150226305333820e-01,9.725465350005348952e-01,9.936177832760998418e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.172606463449688538e-02,2.137904977634892401e-01,2.841171222689386489e-01,3.063796736757669614e-01,7.423532655666611468e-01,8.771738149673729001e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.241856703908605419e-01,6.682456178201984232e-01,8.806824799775736512e-01,9.759449518307388161e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.282651236666512817e-01,7.664981915813836588e-01,8.918158594416518703e-01,9.658623776491721546e-01,9.938528113397110397e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.513053732975941534e-02,6.392771300419172187e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.005176659919062576e-01,6.204551633552546352e-01,6.406714136404207949e-01,6.813465788328980643e-01,7.100849318763372553e-01,8.257636132221004566e-01,8.391519460879726111e-01,9.440874909390007952e-01,nan,nan,nan,nan,nan,nan,nan
9.094674123210014227e-02,9.746370985051547309e-02,2.598488621268290055e-01,3.253841763537894116e-01,6.005663027142181809e-01,7.757197993942799297e-01,7.953861062529994364e-01,8.442813965056145120e-01,9.091762777945707752e-01,9.729792424252197147e-01,nan,nan,nan,nan,nan
7.288800408607780390e-02,1.181077742315972401e-01,2.013221477768976919e-01,7.825625636179077693e-01,8.343011559154672740e-01,8.834887113500241584e-01,9.732653168048549519e-01,9.979937908106398803e-01,nan,nan,nan,nan,nan,nan,nan
1.766994363997377859e-01,3.247665974853776172e-01,9.018716500623417121e-01,9.547958366076003678e-01,9.864540426346838364e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.321810063071300889e-02,7.937509930306393402e-01,9.703538047225218621e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.196833704892683314e-02,1.288779537819166321e-01,1.690685126082176193e-01,2.792748768864430908e-01,5.968763435801861528e-01,6.964274473928232512e-01,7.803465344222323408e-01,8.043999514819037966e-01,9.388285526623377786e-01,9.864903162877191045e-01,nan,nan,nan,nan,nan
