8.999771502997037098e-01,9.696300526406126385e-01,nan,nan,nan,nan,nan,nan
4.708735616580709271e-01,7.686956466117438325e-01,nan,nan,nan,nan,nan,nan
6.706912717140052216e-01,7.293808614545151947e-01,7.869455057746386206e-01,8.880326611108203538e-01,nan,nan,nan,nan
7.378846457171991391e-01,9.451145477660521932e-01,9.890804983113000715e-01,nan,nan,nan,nan,nan
8.415164129229700807e-01,nan,nan,nan,nan,nan,nan,nan
7.446532285113697247e-01,nan,nan,nan,nan,nan,nan,nan
3.131650165148861659e-02,4.533335357197775251e-01,4.840832368740249358e-01,5.482713244789940710e-01,9.653084082581995240e-01,nan,nan,nan
2.576863401689354766e-02,3.836891112725577258e-01,nan,nan,nan,nan,nan,nan
4.654944904098015646e-02,8.046505714278027188e-01,nan,nan,nan,nan,nan,nan
4.319333267980787761e-01,7.621637087363273277e-01,8.566774758965106651e-01,nan,nan,nan,nan,nan
4.225339063712589549e-02,4.010049299205631357e-01,nan,nan,nan,nan,nan,nan
7.868839522051890301e-01,nan,nan,nan,nan,nan,nan,nan
5.185798624438904270e-01,5.470146163456125477e-01,5.896510859394945570e-01,6.819210033927312065e-01,8.448980771883284335e-01,nan,nan,nan
3.465170756708869648e-01,8.519338659311983530e-01,8.922140141207188790e-01,9.721356255865674090e-01,nan,nan,nan,nan
7.380319173914039466e-01,nan,nan,nan,nan,nan,nan,nan
8.554102846191362630e-01,8.811651864788865307e-01,9.316365243702130483e-01,nan,nan,nan,nan,nan
7.784065915572667693e-01,8.921335502794176531e-01,nan,nan,nan,nan,nan,nan
1.802077835288130869e-02,5.673570430406417175e-01,6.171399708878269053e-01,8.294337645264520109e-01,nan,nan,nan,nan
9.282524487279072978e-02,3.681892625293496368e-01,5.278985398173414723e-01,7.553152459079059966e-01,nan,nan,nan,nan
1.303270553092200114e-02,3.367131784897662850e-01,5.749371176349377111e-01,9.896062546346030553e-01,nan,nan,nan,nan
3.858881093682806629e-01,4.947822117951462539e-01,6.193977811981538073e-01,7.941818956966262277e-01,8.786947942534502065e-01,nan,nan,nan
3.583782073661321843e-01,4.408353690008304793e-01,6.255213333503230055e-01,8.380608336084418575e-01,nan,nan,nan,nan
4.683208272556058094e-01,nan,nan,nan,nan,nan,nan,nan
7.500934725853600771e-01,9.798264712229575180e-01,nan,nan,nan,nan,nan,nan
3.427170755795084373e-02,8.225982723677168762e-01,9.442298516383834661e-01,nan,nan,nan,nan,nan
7.509914693606130065e-01,9.427787865230325970e-01,nan,nan,nan,nan,nan,nan
3.195038919370103980e-01,4.074375444486574294e-01,4.987868235662498706e-01,6.800399516932663646e-01,nan,nan,nan,nan
7.553432686463276147e-01,8.131227793439318452e-01,9.109366046969866737e-01,nan,nan,nan,nan,nan
1.527797668112189887e-02,6.361552772426072311e-01,8.013178708059365274e-01,nan,nan,nan,nan,nan
3.427541346357543955e-02,3.879086655698878450e-01,4.396562818222435332e-01,5.028048628995137603e-01,6.511725713842456686e-01,7.637246818746542543e-01,9.663752521856086020e-01,nan
4.167685833018289210e-01,4.336754070366213298e-01,nan,nan,nan,nan,nan,nan
5.165297351460322872e-01,6.307966392411036294e-01,7.589547498262412262e-01,nan,nan,nan,nan,nan
8.516051317959646427e-01,nan,nan,nan,nan,nan,nan,nan
8.757590570429746313e-02,4.833489599020504013e-01,5.977763601701649998e-01,6.684354158881514740e-01,8.884133033077137309e-01,nan,nan,nan
8.123022766088973390e-02,4.935062887949303589e-01,8.541810154171258773e-01,8.914071673940817675e-01,nan,nan,nan,nan
4.850137237807811696e-01,5.178337316505001731e-01,7.114280331657232281e-01,7.609849261527231734e-01,nan,nan,nan,nan
4.771988572205433932e-01,6.036656533976123562e-01,7.196226535208209985e-01,9.408668691986395993e-01,9.721696133100697912e-01,nan,nan,nan
4.281692689146757713e-01,9.405139705281001516e-01,nan,nan,nan,nan,nan,nan
7.047735465755426976e-01,9.178654806008785805e-01,nan,nan,nan,nan,nan,nan
