3.807647650718978816e-02,5.428990933942989122e-02,1.367647395687957845e-01,2.038469194701099663e-01,5.646310228607375192e-01,9.626636721555192899e-01
2.407522416027174997e-02,9.695212788385940694e-01,nan,nan,nan,nan
1.559402952661082843e-02,1.230848887514262996e-01,8.767075863282471904e-01,nan,nan,nan
3.125598242468179966e-01,6.757908944131807427e-01,8.501734654617503217e-01,nan,nan,nan
6.534200070718525488e-01,nan,nan,nan,nan,nan
1.715032675356585878e-01,2.509412895913065711e-01,8.569575206725483785e-01,nan,nan,nan
3.122797337988832828e-02,2.724526632353820310e-01,nan,nan,nan,nan
6.538461980872608548e-01,9.514413705866611171e-01,nan,nan,nan,nan
1.953694056965451231e-01,5.145344347912793603e-01,6.767094826284930642e-01,nan,nan,nan
2.222701665204675214e-01,4.380373049255068540e-01,8.561641802949691016e-01,nan,nan,nan
1.115879029978995157e-01,3.242164180097780180e-01,9.329504055699827658e-01,9.858593186445325784e-01,nan,nan
8.503915399900308092e-01,nan,nan,nan,nan,nan
5.749099232734573156e-02,5.666979079667320285e-01,8.862720548016969069e-01,nan,nan,nan
4.123277460177612874e-01,6.406269148894110366e-01,8.794431555408891432e-01,nan,nan,nan
3.450606357614423025e-01,6.524030873082596882e-01,8.904996376489019427e-01,nan,nan,nan
8.553804528779085370e-02,5.467859173316288457e-01,9.523224271749225478e-01,nan,nan,nan
1.237382907157107276e-01,3.054067792438008300e-01,5.825605088210662474e-01,nan,nan,nan
1.440111535319282265e-01,2.433089111552441952e-01,7.041912113483809188e-01,nan,nan,nan
3.148302083324090728e-02,3.093726759435515561e-01,8.001545369673546126e-01,9.744140128240509346e-01,nan,nan
1.499760366148299717e-01,3.492108055197520877e-01,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
7.351645480851952408e-02,2.481312158265416012e-01,nan,nan,nan,nan
2.594724223224314508e-01,5.461448725405241289e-01,8.292481701935058291e-01,9.575128671530594993e-01,nan,nan
nan,nan,nan,nan,nan,nan
7.772901843193980032e-02,5.307748003453830465e-01,8.653194160013102376e-01,nan,nan,nan
6.547835685485097201e-01,nan,nan,nan,nan,nan
1.240566851140200710e-01,3.684743732111472325e-01,5.653294989287875882e-01,nan,nan,nan
1.918511114439222232e-01,5.700547537798736908e-01,8.210516177856662656e-01,9.822788934453774434e-01,nan,nan
2.932841951656438295e-02,6.408762602960970112e-01,9.873935471433223920e-01,nan,nan,nan
5.305744563887259541e-02,1.310484788664896538e-01,3.278347363490291544e-01,nan,nan,nan
7.033790065628092725e-02,7.391445437937067542e-01,9.907377564322948915e-01,nan,nan,nan
6.062055488900218725e-01,7.707109755459102818e-01,9.706944051025134801e-01,nan,nan,nan
nan,nan,nan,nan,nan,nan
9.744082943449730583e-02,8.971967818371640035e-01,nan,nan,nan,nan
1.165004380387838490e-01,1.964346696137210246e-01,3.373626755725077087e-01,nan,nan,nan
3.682488548006188772e-02,2.931815911904661065e-01,nan,nan,nan,nan
6.243185520179971304e-01,7.392752636243503650e-01,nan,nan,nan,nan
3.186462250101232407e-01,nan,nan,nan,nan,nan
1.791867343379649480e-02,9.095559433385487225e-01,nan,nan,nan,nan
8.791538793751253744e-02,3.311209720914887189e-01,nan,nan,nan,nan
