1.423253031755207509e-01,2.580566386431613624e-01,2.718848577007422218e-01,nan,nan,nan,nan,nan,nan,nan,nan
2.224264880476721495e-01,7.214062489370284270e-01,9.195811930528630107e-01,9.744468776463371951e-01,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.992977313314581556e-02,9.596658580934440685e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.643897556273696048e-02,1.907157797256320009e-01,6.532624531138121471e-01,8.438724574089158104e-01,9.609473396764413033e-01,9.925312062168676341e-01,nan,nan,nan,nan,nan
1.782902641480512973e-01,2.382846357185865738e-01,2.442355348196054987e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.465049198145990383e-01,6.055633373977259426e-01,9.657089758857982931e-01,nan,nan,nan,nan,nan,nan,nan,nan
8.190134893991722898e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.299745616416058569e-01,9.949962486448602483e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.814742541418960853e-01,9.691982669327534605e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.910362413212631491e-02,1.357693626962116207e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.197335445095354237e-02,3.646550700512043997e-01,5.891807493251783878e-01,6.438566231375382198e-01,8.818123805795061720e-01,nan,nan,nan,nan,nan,nan
2.432000135665986565e-02,5.302826824964684826e-01,6.647157122212871139e-01,6.848791023144690238e-01,7.727982532741333177e-01,8.653466938038077982e-01,8.807422033713984133e-01,9.371299729118276467e-01,nan,nan,nan
4.015499576027360684e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.695147387389591032e-01,9.973552855885684520e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.761967190982182241e-02,2.481392841404128635e-01,9.908076270444754474e-01,nan,nan,nan,nan,nan,nan,nan,nan
1.229823505058931510e-01,1.685481448777331748e-01,5.683465553443114437e-01,6.538874927364635159e-01,8.173472429092585312e-01,9.321683049616252825e-01,nan,nan,nan,nan,nan
1.395326477665674858e-01,2.988593671858750245e-01,3.721504843403887763e-01,4.003375085789510623e-01,8.158740936826878176e-01,8.493484762603092930e-01,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.691404084131185065e-02,7.700405824685038203e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.696715039412645287e-02,6.381890023722157357e-02,4.234748364408173482e-01,7.360708941542059014e-01,8.725723536316665196e-01,9.090005771391442835e-01,9.656919026106205450e-01,nan,nan,nan,nan
6.936412583138552579e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.770487396159897253e-01,7.494873005561287771e-01,9.772509535810349757e-01,nan,nan,nan,nan,nan,nan,nan,nan
2.850587381466034853e-01,3.743191189361815274e-01,6.078925659476205334e-01,6.511717903088936055e-01,nan,nan,nan,nan,nan,nan,nan
3.623577532437498028e-01,3.740981523035398215e-01,7.904156877468538900e-01,9.788154834459726894e-01,nan,nan,nan,nan,nan,nan,nan
5.134366018352177347e-02,6.069473736586675217e-02,2.632202609263127879e-01,5.678115324699022359e-01,5.923279668693670619e-01,6.277367728867583319e-01,8.429908585510866859e-01,8.743513428944332810e-01,9.327337277966494256e-01,nan,nan
1.145293045925204097e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.680545776901558375e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.054067792438008300e-01,3.771717197809849043e-01,7.254911655906889356e-01,8.564268030898586348e-01,nan,nan,nan,nan,nan,nan,nan
1.230846751300814466e-02,7.432504446363970285e-02,1.450583089320244268e-01,2.991836279549624500e-01,5.869443310334202524e-01,5.998863994552853240e-01,6.557694639198643483e-01,7.241092655431958791e-01,7.690524194244114931e-01,8.520215858781963192e-01,9.050547115485770844e-01
