7.538090082543617010e-01,nan,nan
3.212470155865692623e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
1.528630633609782408e-01,nan,nan
nan,nan,nan
nan,nan,nan
7.862695932265075793e-01,nan,nan
4.376336098809534558e-01,nan,nan
nan,nan,nan
3.027354278939062282e-01,nan,nan
nan,nan,nan
nan,nan,nan
5.222876736112994633e-01,nan,nan
4.289390896858323865e-01,nan,nan
9.235642616222583534e-01,nan,nan
4.042805970920351211e-01,nan,nan
5.631131281786240228e-01,nan,nan
nan,nan,nan
2.580991328583775446e-01,nan,nan
nan,nan,nan
5.842102900350145678e-01,nan,nan
5.736068002049845571e-01,nan,nan
8.233548173963101124e-01,nan,nan
nan,nan,nan
4.369714330091186150e-01,nan,nan
2.705258315695605043e-01,nan,nan
4.287812728092137426e-01,nan,nan
3.278312362454556816e-01,nan,nan
6.718778443476663975e-01,nan,nan
7.140246783922437057e-01,nan,nan
2.271382025919762571e-01,6.270756805540589340e-01,nan
nan,nan,nan
nan,nan,nan
5.301228608656903818e-01,nan,nan
7.072487243601391915e-01,nan,nan
8.569615959105119085e-01,nan,nan
5.299613466965644726e-01,nan,nan
nan,nan,nan
2.399936557747058830e-01,nan,nan
6.211557236832224715e-01,nan,nan
nan,nan,nan
nan,nan,nan
1.572042598988269702e-01,nan,nan
2.894244518418777612e-01,nan,nan
7.895696321943274087e-02,nan,nan
5.575682739569519653e-01,nan,nan
6.625972786415366134e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
3.450807161678592361e-01,nan,nan
6.872794667722021966e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
5.655792058485186180e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
7.755020586360357182e-01,nan,nan
2.422835615647349616e-01,nan,nan
8.573897916800796715e-01,nan,nan
nan,nan,nan
2.959233389896979149e-01,nan,nan
6.777544360854960148e-01,nan,nan
6.203821843610705933e-02,nan,nan
nan,nan,nan
8.183404342711606549e-01,nan,nan
nan,nan,nan
nan,nan,nan
5.687677837715545692e-01,nan,nan
4.275593422841991731e-01,nan,nan
8.240374854848404595e-01,nan,nan
5.985904573504821080e-01,nan,nan
4.416934342427983329e-01,nan,nan
8.112151107457420407e-01,nan,nan
nan,nan,nan
1.426151544756744660e-01,nan,nan
nan,nan,nan
5.649238977245416571e-01,nan,nan
2.302046712678075258e-01,9.239138447369174001e-01,nan
5.527572583521098704e-01,nan,nan
3.063148671483926777e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
2.458854967900764021e-01,nan,nan
1.872055866517026781e-02,4.501877583729625987e-01,nan
nan,nan,nan
5.643989314857519313e-01,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
6.580147228488174571e-01,nan,nan
3.336021675796350117e-01,nan,nan
