5.467472898655780789e-01,7.623154054526389833e-01,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
5.504780023261700572e-01,nan,nan,nan,nan,nan,nan
3.365557521053474388e-01,6.417383945466723638e-01,7.432382232262307875e-01,8.009748800326456086e-01,8.434249269951084038e-01,nan,nan
7.512980590427061900e-01,nan,nan,nan,nan,nan,nan
5.319829275736376317e-01,nan,nan,nan,nan,nan,nan
3.694205441188878059e-01,6.458690250919879583e-01,7.403872767453593129e-01,nan,nan,nan,nan
3.094102864150637955e-01,5.458435530137762948e-01,7.550436759512589857e-01,nan,nan,nan,nan
6.988666324169268140e-01,nan,nan,nan,nan,nan,nan
6.036622111873110041e-01,7.609737091994772662e-01,nan,nan,nan,nan,nan
3.528099673199801001e-01,5.082037417589702066e-01,6.976517046814386669e-01,nan,nan,nan,nan
2.661460907085779273e-02,4.464319881522014755e-01,5.766356313373497411e-01,nan,nan,nan,nan
3.826682039591379203e-01,7.601900957414386983e-01,nan,nan,nan,nan,nan
7.307625815063457653e-01,nan,nan,nan,nan,nan,nan
9.896197783853867280e-01,nan,nan,nan,nan,nan,nan
8.560340092599129369e-02,3.747338453002240222e-01,nan,nan,nan,nan,nan
3.832756812785498290e-02,5.902242371505365126e-01,7.108628566951856742e-01,nan,nan,nan,nan
5.630819729571974464e-02,5.079154725172740914e-01,6.753139995919302807e-01,nan,nan,nan,nan
6.243424017662363434e-01,nan,nan,nan,nan,nan,nan
4.647859549091485354e-01,6.938961873453596274e-01,7.723929914443088407e-01,nan,nan,nan,nan
2.781072599404597057e-01,5.631157635467980427e-01,9.843913034214156754e-01,nan,nan,nan,nan
7.044310224300642798e-02,5.736340261767304272e-01,6.983162170724694917e-01,nan,nan,nan,nan
4.317732752594342638e-01,4.824723691981342433e-01,5.341096631616283341e-01,5.609842391650582405e-01,6.652609763457264513e-01,nan,nan
4.708616159133445778e-01,nan,nan,nan,nan,nan,nan
4.900047113121424047e-01,nan,nan,nan,nan,nan,nan
3.395967706527223129e-01,7.109816349221654841e-01,nan,nan,nan,nan,nan
